['21st Amendment Back in Black', '12oz Can', '1.99', '8.99', '35.96']
['21st Amendment Brew Free! IPA', '12oz Can', '1.99', '8.99', '35.96']
['21st Amendment Watermelon Wheat', '12oz Can', '1.99', '8.99', '35.96']
['Abita Abbey Ale', '22oz Btl', '4.99', '', '']
['Abita Amber Lager', '12oz Btl', '1.49', '6.99', '27.96']
['Abita Andygator', '22oz Btl', '4.99', '', '']
['Abita Christmas Ale', '12oz Btl', '', 'Seasonal', '']
['Abita Golden', '12oz Btl', '1.49', '6.99', '27.96']
['Abita Jockamo IPA', '12oz Btl', '1.49', '6.99', '27.96']
['Abita Purple Haze', '12oz Btl', '1.49', '6.99', '27.96']
['Abita Restoration Pale Ale', '12oz Btl', '1.49', '6.99', '27.96']
['Abita Turbodog', '12oz Btl', '1.49', '6.99', '27.96']
['Abita Wheat Lager', '12oz Btl', '1.49', '7.99', '31.96']
['Allagash Black', '750ml Btl', '8.99', '', '']
['Allagash Curieux', '750ml Btl', '18.99', '', '']
['Allagash Dubbel Reserve', '12oz Btl', '3.79', '8.99-4pk', '53.94']
['Allagash Interlude', '750ml Btl', '21.99', '', '']
['Allagash Tripel Reserve', '12oz Btl', '2.99', '10.99-4pk', '65.94']
['Allagash Tripel Reserve', '750ml Btl', '8.99', '', '']
['Allagash Victoria Ale', '750ml Btl', '15.99', '', '']
['Allagash White', '12oz Btl', '2.49', '7.99-4pk', '47.94']
['Anchor Christmas Ale', '12oz Btl', '', 'Seasonal', '']
['Anchor Christmas Ale', '1.5L Btl', '', 'Seasonal', '']
['Anchor Humming Ale', '12oz Btl', '2.49', '9.99', '39.96']
['Anchor Liberty Ale', '12oz Btl', '1.99', '8.99', '35.96']
['Anchor Old Foghorn Barleywine', '12oz Btl', '2.69', '14.99', '59.96']
['Anchor Porter', '12oz Btl', '1.99', '7.99', '31.96']
['Anchor Small Beer', '22oz Btl', '3.99', '', '']
['Anchor Steam Beer', '12oz Btl', '1.99', '7.99', '31.96']
['Anderson Valley Boont Amber Ale', '12oz Btl', '1.99', '10.99', '43.96']
['Anderson Valley Boont ESB', '12oz Btl', '1.99', '10.99', '43.96']
['Anderson Valley Brother David Trpl', '22oz Btl', '8.99', '', '']
['Anderson Valley Hop Ottin\xa1\xa6 IPA', '12oz Btl', '1.99', '10.99', '43.96']
['Anderson Valley Hop Ottin\xa1\xa6 IPA', '12oz Can', '1.99', '9.99', '39.96']
['Anderson Valley Imperial IPA', '12oz Btl', '3.29', '11.99-4pk', '71.94']
['Anderson Valley Oatmeal Stout', '12oz Btl', '1.99', '10.99', '43.96']
['Anderson Valley Winter Solstice', '12oz Btl', '', 'Seasonal', '']
['Atlantic Bar Harbor Blueberry Ale', '12oz Btl', '2.79', '11.99', '47.96']
['Atlantic Bar Harbor Real Ale', '12oz Btl', '2.79', '9.99', '39.96']
['Avery Anniversary Ale', '22oz Btl', '8.49', '', '']
['Avery Dugana IPA', '22oz Btl', '6.99', '', '']
['Avery Ellie\xa1\xa6s Brown Ale', '12oz Btl', '1.99', '9.99', '39.96']
['Avery India Pale Ale', '12oz Btl', '1.99', '9.99', '39.96']
['Avery Old Jubilation Ale', '12oz Btl', '1.99', '8.99', '35.96']
['Avery The Beast Grand Cru', '12oz Btl', '7.99', '', '']
['Avery White Rascal', '12oz Btl', '1.99', '9.99', '39.96']
['Ballantine XXX Ale', '12oz Btl', '1.29', '5.99', '23.96']
['Bard\xa1\xa6s Gold Gluten Free Beer', '12oz Btl', '1.99', '8.99', '35.96']
['Bear Republic Big Bear Black Stout', '22oz Btl', '4.49', '', '']
['Bear Republic Hop Rod Rye Ale', '22oz Btl', '4.49', '', '']
['Bear Republic Hop Rod Rye Ale', '12oz Btl', '2.79', '7.99-4pk', '47.94']
['Bear Republic Racer 5', '22oz Btl', '4.49', '', '']
